1	1	500
2	1	1000
3	1	500
4	1	500
5	1	0
6	1	0
7	1	0
8	1	0
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	0
19	1	1000
1	2	500
2	2	1000
3	2	500
4	2	500
5	2	0
6	2	0
7	2	0
8	2	0
9	2	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	1000
1	3	500
2	3	1000
3	3	500
4	3	500
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	0
16	3	0
17	3	0
18	3	0
19	3	1000
1	4	500
2	4	500
3	4	1000
4	4	1000
5	4	0
6	4	0
7	4	0
8	4	0
9	4	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	0
16	4	0
17	4	0
18	4	0
19	4	500
1	5	500
2	5	500
3	5	1000
4	5	1000
5	5	0
6	5	0
7	5	0
8	5	0
9	5	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	0
18	5	0
19	5	500
1	6	0
2	6	0
3	6	0
4	6	0
5	6	1000
6	6	0
7	6	1000
8	6	0
9	6	1000
10	6	1000
11	6	0
12	6	0
13	6	500
14	6	1000
15	6	0
16	6	0
17	6	1000
18	6	0
19	6	0
1	7	0
2	7	0
3	7	0
4	7	0
5	7	0
6	7	1000
7	7	0
8	7	1000
9	7	0
10	7	0
11	7	1000
12	7	1000
13	7	0
14	7	0
15	7	1000
16	7	500
17	7	0
18	7	1000
19	7	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	1000
6	8	0
7	8	1000
8	8	0
9	8	1000
10	8	1000
11	8	0
12	8	0
13	8	500
14	8	1000
15	8	0
16	8	0
17	8	1000
18	8	0
19	8	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	1000
6	9	0
7	9	1000
8	9	0
9	9	1000
10	9	1000
11	9	0
12	9	0
13	9	500
14	9	1000
15	9	0
16	9	0
17	9	1000
18	9	0
19	9	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
6	10	1000
7	10	0
8	10	1000
9	10	0
10	10	0
11	10	1000
12	10	1000
13	10	0
14	10	0
15	10	1000
16	10	500
17	10	0
18	10	1000
19	10	0
1	11	0
2	11	0
3	11	0
4	11	0
5	11	0
6	11	1000
7	11	0
8	11	1000
9	11	0
10	11	0
11	11	1000
12	11	1000
13	11	0
14	11	0
15	11	1000
16	11	500
17	11	0
18	11	1000
19	11	0
1	12	0
2	12	0
3	12	0
4	12	0
5	12	1000
6	12	0
7	12	1000
8	12	0
9	12	1000
10	12	1000
11	12	0
12	12	0
13	12	500
14	12	1000
15	12	0
16	12	0
17	12	1000
18	12	0
19	12	0
1	13	0
2	13	0
3	13	0
4	13	0
5	13	0
6	13	1000
7	13	0
8	13	1000
9	13	0
10	13	0
11	13	1000
12	13	1000
13	13	0
14	13	0
15	13	1000
16	13	500
17	13	0
18	13	1000
19	13	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	1000
6	14	0
7	14	1000
8	14	0
9	14	1000
10	14	1000
11	14	0
12	14	0
13	14	500
14	14	1000
15	14	0
16	14	0
17	14	1000
18	14	0
19	14	0
1	15	0
2	15	0
3	15	0
4	15	0
5	15	0
6	15	1000
7	15	0
8	15	1000
9	15	0
10	15	0
11	15	1000
12	15	1000
13	15	0
14	15	0
15	15	1000
16	15	500
17	15	0
18	15	1000
19	15	0
1	16	0
2	16	0
3	16	0
4	16	0
5	16	1000
6	16	0
7	16	1000
8	16	0
9	16	1000
10	16	1000
11	16	0
12	16	0
13	16	500
14	16	1000
15	16	0
16	16	0
17	16	1000
18	16	0
19	16	0
1	17	0
2	17	0
3	17	0
4	17	0
5	17	1000
6	17	0
7	17	1000
8	17	0
9	17	1000
10	17	1000
11	17	0
12	17	0
13	17	500
14	17	1000
15	17	0
16	17	0
17	17	1000
18	17	0
19	17	0
1	18	0
2	18	0
3	18	0
4	18	0
5	18	0
6	18	1000
7	18	0
8	18	1000
9	18	0
10	18	0
11	18	1000
12	18	1000
13	18	0
14	18	0
15	18	1000
16	18	500
17	18	0
18	18	1000
19	18	0
1	19	0
2	19	0
3	19	0
4	19	0
5	19	0
6	19	1000
7	19	0
8	19	1000
9	19	0
10	19	0
11	19	1000
12	19	1000
13	19	0
14	19	0
15	19	1000
16	19	500
17	19	0
18	19	1000
19	19	0
1	20	500
2	20	500
3	20	1000
4	20	1000
5	20	0
6	20	0
7	20	0
8	20	0
9	20	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	1000
